strain	species	ecotype
CBP-1645	atrophaeus	PE_A3
CBP-1670	atrophaeus	PE_A3
CBP-3061	atrophaeus	PE_A3
CBP-1652	atrophaeus	PE_A3
CBP-1660	atrophaeus	PE_A3
CBP-1662	atrophaeus	PE_A3
CBP-1663	atrophaeus	PE_A3
CBP-1664	atrophaeus	PE_A3
CBP-2086	atrophaeus	PE_A3
CBP-2091	atrophaeus	PE_A3
CBP-2094	atrophaeus	PE_A3
CBP-2095	atrophaeus	PE_A3
CBP-1752	atrophaeus	PE_A4
CBP-1690	atrophaeus	PE_A4
CBP-1747	atrophaeus	PE_A4
CBP-1760	atrophaeus	PE_A4
CBP-1777	atrophaeus	PE_A4
CBP-1776	atrophaeus	PE_A4
CBP-3058	atrophaeus	PE_A4
CBP-3062	atrophaeus	PE_A5
CBP-1669	atrophaeus	PE_A6
CBP-1671	atrophaeus	PE_A6
CBP-1672	atrophaeus	PE_A6
CBP-2099	atrophaeus	PE_A6
CBP-2098	atrophaeus	PE_A6
CBP-1724	atrophaeus	PE_A7
CBP-2062	atrophaeus	PE_A7
CBP-2065	atrophaeus	PE_A7
CBP-1642	atrophaeus	PE_A8
CBP-2071	atrophaeus	PE_A8
CBP-1649	atrophaeus	PE_A8
CBP-2068	atrophaeus	PE_A8
CBP-2067	atrophaeus	PE_A8
CBP-2063	atrophaeus	PE_A8
CBP-2066	atrophaeus	PE_A8
CBP-2064	atrophaeus	PE_A8
CBP-2069	atrophaeus	PE_A8
CBP-3065	atrophaeus	PE_A8
CBP-3064	atrophaeus	PE_A8
CBP-1682	atrophaeus	PE_A2
CBP-1687	atrophaeus	PE_A2
CBP-1688	atrophaeus	PE_A2
CBP-1729	atrophaeus	PE_A2
CBP-1730	atrophaeus	PE_A2
CBP-1732	atrophaeus	PE_A2
CBP-1733	atrophaeus	PE_A2
CBP-1734	atrophaeus	PE_A2
CBP-1737	atrophaeus	PE_A2
CBP-1738	atrophaeus	PE_A2
CBP-1739	atrophaeus	PE_A2
CBP-1740	atrophaeus	PE_A2
CBP-2100	atrophaeus	PE_A2
CBP-1731	atrophaeus	PE_A2
CBP-1742	atrophaeus	PE_A2
CBP-1689	atrophaeus	PE_A2
